abbreviation,full_length,count_abbr,count_fl,abbr_first_token_surprisal_mean,abbr_first_token_surprisal_median,abbr_mask_all_surprisal_mean,abbr_mask_all_surprisal_median,abbr_sequential_surprisal_mean,abbr_sequential_surprisal_median,fl_first_token_surprisal_mean,fl_first_token_surprisal_median,fl_mask_all_surprisal_mean,fl_mask_all_surprisal_median,fl_sequential_surprisal_mean,fl_sequential_surprisal_median
ht,hat tip,5,1,28.495019912719727,28.45294189453125,28.495019912719727,28.45294189453125,28.495019912719727,28.45294189453125,34.794952392578125,34.794952392578125,67.76144409179688,67.76144409179688,136.21778869628906,136.21778869628906
ftw,for the win,11,11,31.78257942199707,31.074186325073242,31.78257942199707,31.074186325073242,31.78257942199707,31.074186325073242,27.0395565032959,28.740177154541016,61.56756591796875,47.67795181274414,117.9327392578125,87.63274383544922
ftl,for the loss,1,1,37.87710189819336,37.87710189819336,71.79913330078125,71.79913330078125,151.99746704101562,151.99746704101562,27.589141845703125,27.589141845703125,53.07923889160156,53.07923889160156,98.70518493652344,98.70518493652344
fomo,fear of missing out,2,0,40.760292053222656,40.760292053222656,83.67371368408203,83.67371368408203,161.26461791992188,161.26461791992188,,,,,,
fab,fabulous,39,109,39.79595947265625,39.608699798583984,39.79595947265625,39.608699798583984,39.79595947265625,39.608699798583984,38.50115966796875,37.684486389160156,38.50115966796875,37.684486389160156,38.50115966796875,37.684486389160156
eml,email,0,36,,,,,,,35.97604751586914,35.252532958984375,35.97604751586914,35.252532958984375,35.97604751586914,35.252532958984375
ema,email address,12,0,38.496925354003906,40.02147674560547,38.496925354003906,40.02147674560547,38.496925354003906,40.02147674560547,,,,,,
deets,details,3,127,37.82053756713867,36.1734619140625,37.82053756713867,36.1734619140625,37.82053756713867,36.1734619140625,37.7801628112793,37.41471862792969,37.7801628112793,37.41471862792969,37.7801628112793,37.41471862792969
cr8,create,1,63,32.01346969604492,32.01346969604492,45.23016357421875,45.23016357421875,98.84717559814453,98.84717559814453,33.61265563964844,35.965885162353516,33.61265563964844,35.965885162353516,33.61265563964844,35.965885162353516
clk,click,0,102,,,,,,,42.33045196533203,44.74744415283203,42.33045196533203,44.74744415283203,42.33045196533203,44.74744415283203
cld,could,0,695,,,,,,,31.940113067626953,31.69842529296875,31.940113067626953,31.69842529296875,31.940113067626953,31.69842529296875
chk,check,1,592,22.280675888061523,22.280675888061523,39.240047454833984,39.240047454833984,78.73397827148438,78.73397827148438,42.37575912475586,43.355438232421875,42.37575912475586,43.355438232421875,42.37575912475586,43.355438232421875
btw,by the way,26,9,35.83385467529297,37.726219177246094,35.83385467529297,37.726219177246094,35.83385467529297,37.726219177246094,26.570894241333008,24.75735092163086,86.36338806152344,86.36573791503906,160.9361114501953,159.7882537841797
br,best regards,11,1,38.661861419677734,38.94091796875,38.661861419677734,38.94091796875,38.661861419677734,38.94091796875,47.45355224609375,47.45355224609375,91.16642761230469,91.16642761230469,181.15469360351562,181.15469360351562
bgd,background,0,32,,,,,,,33.26092529296875,33.033565521240234,33.26092529296875,33.033565521240234,33.26092529296875,33.033565521240234
bfn,bye for now,0,2,,,,,,,34.61869812011719,34.61869812011719,94.02436065673828,94.02436065673828,191.43350219726562,191.43350219726562
b4,before,7,637,38.30261993408203,39.296077728271484,38.30261993408203,39.296077728271484,38.30261993408203,39.296077728271484,35.93694305419922,36.693939208984375,35.93694305419922,36.693939208984375,35.93694305419922,36.693939208984375
bc,because,141,615,31.605274200439453,31.057743072509766,31.605274200439453,31.057743072509766,31.605274200439453,31.057743072509766,34.637454986572266,35.00137710571289,34.637454986572266,35.00137710571289,34.637454986572266,35.00137710571289
